Title,Sub_title,Price in Euro per month,Features,Surface_area,No of rooms,Agent
Apartment Rustenburgerstraat 133 HS,1073 EX Amsterdam (Nieuwe Pijp),2450,Upholstered or furnished,57,3,Rent a Stone
House Herengracht 315,1016 AV Amsterdam (Grachtengordel-West),3250,Upholstered,170,4,Parker & Williams Real Estate Services
Apartment Brouwersgracht 75 G,1015 GC Amsterdam (Grachtengordel-West),2850,Before 1906,138,3,Peter Bruin Makelaardij
Apartment Distelweg,1031 HD Amsterdam (Noordelijke IJ-oevers West),1950,Furnished,48,1,V-Amsterdam
House Pythagorasstraat,1098 GB Amsterdam (Middenmeer),3250,Upholstered,106,4,Aham Vastgoed
Apartment Ceintuurbaan,1074 CZ Amsterdam (Oude Pijp),3250,²,178,5,Engel en Volkers Amsterdam Centrum
Apartment Javastraat,1094 HN Amsterdam (Indische Buurt West),1750,Furnished,46,2,Hoofdstad Makelaars
Apartment Pieter Calandlaan,1060 TX Amsterdam (Middelveldsche Akerpolder),2250,Furnished,96,4,Rotsvast Amsterdam
Apartment Marnixstraat 198 3,1016 TJ Amsterdam (Jordaan),2850,Furnished,119,3,Inter Immo Amsterdam
Apartment Herengracht,1015 BK Amsterdam (Grachtengordel-West),2200,Furnished,60,2,First Class Housing
Apartment Lauriergracht 92 H,1016 RN Amsterdam (Jordaan),4350,Furnished,150,5,Urban Homies
Apartment Herengracht,1016 BH Amsterdam (Grachtengordel-West),2850,Furnished,123,3,Inter Immo Amsterdam
Apartment Van Walbeeckstraat,1058 CX Amsterdam (Westindische Buurt),1700,Upholstered,59,3,Hometoday.nl
Apartment Rustenburgerstraat 146 A20,1073 GJ Amsterdam (Nieuwe Pijp),2300,Furnished,55,3,ViaDaan
Apartment Admiraal De Ruijterweg 89 3,1056 ET Amsterdam (Geuzenbuurt),1800,Furnished,63,2,ViaDaan
Apartment Sem Presserhof 93,1087 JE Amsterdam (IJburg West),2200,Upholstered or furnished,124,4,Aemestelle Makelaars Amsterdam
Apartment Weteringschans 119 I,1017 SC Amsterdam (De Weteringschans),2150,Upholstered,68,2,Listings
Apartment Willem Parelstraat 288,1018 KZ Amsterdam (Oostelijke Eilanden/Kadijken),1699,Furnished,43,2,Huizenbalie.nl
Apartment Bogortuin,1019 PE Amsterdam (Oostelijk Havengebied),1800,Furnished,89,2,Expat Rentals Amsterdam
House Singel 377,1012 WL Amsterdam (Burgwallen-Nieuwe Zijde),3450,Upholstered or furnished,115,4,Rossetti Residence
House Stadionkade,1076 BJ Amsterdam (Stadionbuurt),2800,Upholstered,100,4,City Homes
Apartment Eerste Helmersstraat,1054 DZ Amsterdam (Overtoomse Sluis),2000,Furnished,62,2,Grand Apartments Amsterdam
Apartment Sanne Sanneshof 20,1087 GZ Amsterdam (IJburg West),1895,Upholstered,114,4,LIV Residential
Apartment Poeldijkstraat 357 PP,1059 VL Amsterdam (Westlandgracht),3750,Upholstered,115,4,De Graaf & Groot Makelaars
Apartment Admiraliteitstraat,1018 KP Amsterdam (Oostelijke Eilanden/Kadijken),1675,Upholstered,60,2,Expathousing.com (Amsterdam)
Apartment Albert Cuypstraat,1072 CR Amsterdam (Oude Pijp),2250,Furnished,50,3,Thoma Post Makelaars
House Willemskerkestraat,1069 AA Amsterdam (Osdorp-Midden),2995,Furnished,138,7,ESTATEC
Apartment Bilderdijkstraat,1053 KN Amsterdam (Da Costabuurt),2650,Upholstered,120,3,City Housing Amsterdam
House Amelandstraat,1025 RK Amsterdam (Tuindorp Buiksloot),2100,Furnished,141,4,Expathousing.com (Amsterdam)
Apartment Dichtershofje 15,1053 RR Amsterdam (Kinkerbuurt),2500,Furnished,82,3,Cosmo Housing
Apartment Sprinklerstraat,1019 VR Amsterdam (Oostelijk Havengebied),1995,Furnished,62,3,HouseHunting Randstad
Apartment Valkenburgerstraat 132 F,1011 NA Amsterdam (Nieuwmarkt/Lastage),3150,Furnished,95,3,IdealEstate Housing Consultancy
Apartment Planciusstraat 9,1013 MD Amsterdam (Haarlemmerbuurt),3250,Furnished,157,2,Amsterdam Housing
Apartment Maria Austriastraat 839,1087 GZ Amsterdam (IJburg West),2000,Upholstered,137,6,LIV Residential
Apartment Warmoesstraat 50 Y,1012 JE Amsterdam (Burgwallen-Oude Zijde),2150,Upholstered or furnished,50,2,MA Residences
Apartment George Gershwinlaan 46,1082 MT Amsterdam (Zuidas),3250,Furnished,80,3,Listings
Apartment Zeelandstraat 48 2,1082 BX Amsterdam (Buitenveldert-West),1800,Upholstered or furnished,76,3,Nosa Vastgoed
Apartment Tweede Boerhaavestraat 78 HS,1091 AR Amsterdam (Oosterparkbuurt),2750,Upholstered,120,5,JLG Real Estate
Apartment Albatrospad 142 7,1021 TR Amsterdam (IJplein/Vogelbuurt),2950,Furnished,130,3,Oei Housing Amsterdam - Expat Apartments
Apartment Van Leijenberghlaan,1082 DD Amsterdam (Buitenveldert-West),1850,²3 rooms1997,86,3,Ramón Mossel Makelaardij
Apartment Ben Viljoenstraat,1091 XS Amsterdam (Transvaalbuurt),2950,Furnished,85,4,Expat Rentals Amsterdam
